SYMBOL,DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,regime,macro_group,ret_1,ret_3,ret_5,ret_10,vol_5,vol_10,range,vol_z,deliv_z,pred,weight,entry_date,cluster
KAYNES,2025-12-19,4080.0,4200.0,4012.0,4182.0,4185.0,4110.25,2425907,99710.77,117087,471253.0,19.43,,,0.03422710984801691,-0.00035829451809388235,-0.018872347907631037,0.09929078014184389,0.02232028959061286,0.06206481380695983,0.044922341696535244,-0.5113365727943059,-0.4926779028563994,0.04915696,0.2,2025-12-22,1
MAXHEALTH,2025-12-19,1066.5,1081.0,1061.1,1076.0,1075.8,1072.23,3285719,35230.37,78204,1411708.0,42.96,,,0.026037195994277562,0.002609506057781985,-0.0050864699898270915,-0.0033351862145637456,0.025639879634366123,0.017617460713940852,0.01849786205614435,0.7123552190180121,-2.9068001769103122,0.029298913,0.2,2025-12-22,1
TATAELXSI,2025-12-19,5116.0,5450.0,5062.0,5410.0,5413.5,5330.77,1773370,94534.29,129988,205540.0,11.59,,,0.07978458162960012,0.08313325330132049,0.07613557300467155,0.07528056410765727,0.03682532151039599,0.029212198262496308,0.07167267017641082,4.170874633648853,-2.401851478062802,0.024531446,0.2,2025-12-22,1
IEX,2025-12-19,140.0,141.75,138.72,141.25,141.4,140.62,4243823,5967.56,25135,2383517.0,56.16,,,0.011734401831711594,0.007122507122507171,-0.012569832402234526,-0.003593827073497202,0.009203185686722683,0.010683896586701208,0.021428571428571436,-0.39184169614139064,2.6443786221782575,0.019780058,0.2,2025-12-22,1
CGPOWER,2025-12-19,661.75,673.7,659.7,670.95,671.6,667.61,2130862,14225.93,33922,1342909.0,63.02,,,0.01480809912360237,-0.002154371889161233,0.008559843820393542,0.03778103994437165,0.010529525864578261,0.012245838010127045,0.02084574151280524,-0.21182388538332175,0.5580633609924626,0.019217495,0.2,2025-12-22,1
