SYMBOL,DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,regime,macro_group,ret_1,ret_3,ret_5,ret_10,vol_5,vol_10,range,vol_z,deliv_z,pred,weight,entry_date,cluster
KAYNES,2025-12-05,4865.0,4959.0,4311.0,4365.0,4353.5,4606.61,8397954,386860.79,517616,2545889.0,30.32,25.0,2.0,-0.12545198875050223,-0.1950633262457243,-0.20701275045537337,-0.2600492903883743,0.05205973075004644,0.039604796589545174,0.1488457562880441,3.8429670982985815,-0.761062637496899,0.07083609,0.2,2025-12-08,3
POWERINDIA,2025-12-05,20105.0,20395.0,19220.0,19365.0,19305.0,19614.24,265846,52143.66,69782,91005.0,34.23,25.0,2.0,-0.03883495145631066,-0.15161502966381013,-0.12472796517954299,-0.10471641237304641,0.041954154552547314,0.03370719340674107,0.06086506086506086,1.5354856397662584,-0.04894859867057574,0.027970882,0.2,2025-12-08,3
AMBER,2025-12-05,6700.0,6748.0,6351.5,6571.0,6562.5,6517.49,965176,62905.22,90989,344782.0,35.72,25.0,2.0,-0.02777777777777779,-0.06802527870482145,-0.0861300654504944,-0.08803501945525294,0.015785937320865875,0.0205091690599841,0.06041904761904762,3.2513663143609794,0.2595236451232441,0.0148348445,0.2,2025-12-08,3
MARICO,2025-12-05,716.0,737.8,713.05,736.0,736.65,728.43,2651174,19312.01,61816,1540627.0,58.11,25.0,2.0,0.0307843000069965,0.026904579354568803,0.02683300808475053,-0.004392485471009566,0.01525059130847893,0.012600029575537972,0.03359804520464264,0.6780779547487391,-0.4289754712489492,0.008146137,0.2,2025-12-08,3
PGEL_POST,2025-12-05,578.5,579.05,544.3,553.75,553.9,560.72,2324872,13035.94,40493,637307.0,27.41,25.0,2.0,-0.043433209567394826,-0.056709809264305244,-0.06261634794381454,-0.06340886033141702,0.02226457319132919,0.02959909831784797,0.0627369561292652,-0.3408165072266962,-0.3828378207677816,0.007957633,0.2,2025-12-08,3
